itm_no_item|OBJETO INVALIDO
itm_tourney_helm_white_pl|Yelmos blancos de torneos
itm_tourney_helm_red|Yelmo rojo de torneos
itm_tourney_helm_red_pl|Yelmos rojos de torneos
itm_tourney_helm_blue|Yelmo azul de torneos
itm_tourney_helm_blue_pl|Yelmos azules de torneos
itm_tourney_helm_green|Yelmo verde de torneos
itm_tourney_helm_green_pl|Yelmos verdes de torneos
itm_tourney_helm_yellow|Yelmo amarillo de torneos
itm_tourney_helm_yellow_pl|Yelmos amarillos de torneos
itm_arena_turban_red|Turbante
itm_arena_turban_red_pl|Turbantes
itm_arena_turban_blue|Turbante
itm_arena_turban_blue_pl|Turbantes
itm_arena_turban_green|Turbante
itm_arena_turban_green_pl|Turbantes
itm_arena_turban_yellow|Turbante
itm_arena_turban_yellow_pl|Turbantes
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad Herennium
itm_book_persuasion_pl|Rhetorica ad Herennium
itm_book_leadership|La vida de Alixenus el Grande
itm_book_leadership_pl|La vida de Alixenus el Grande
itm_book_intelligence|Ensayos de lógica
itm_book_intelligence_pl|Ensayos de lógica
itm_book_trade|Tratado sobre el valor de las cosas
itm_book_trade_pl|Tratado sobre el valor de las cosas
itm_book_weapon_mastery|Sobre el arte de la lucha
itm_book_weapon_mastery_pl|Sobre el arte de la lucha
itm_book_engineering|Método de teoremas mecánicos
itm_book_engineering_pl|Método de teoremas mecánicos
itm_book_wound_treatment_reference|El libro de la sanación
itm_book_wound_treatment_reference_pl|El libro de la sanación
itm_book_training_reference|Manual de armas
itm_book_training_reference_pl|Manual de armas
itm_book_surgery_reference|El gran libro de la cirugía
itm_book_surgery_reference_pl|El gran libro de la cirugía
itm_spice|Especias
itm_spice_pl|Especias
itm_salt|Sal
itm_salt_pl|Sal
itm_oil|Aceite
itm_oil_pl|Aceite
itm_pottery|Cerámica
itm_pottery_pl|Cerámica
itm_raw_flax|Fardo de lino
itm_raw_flax_pl|Fardo de lino
itm_linen|Lino
itm_linen_pl|Lino
itm_wool|Lana
itm_wool_pl|Lana
itm_wool_cloth|Paño de lana
itm_wool_cloth_pl|Paño de lana
itm_raw_silk|Seda sin tratar
itm_raw_silk_pl|Seda sin tratar
itm_raw_dyes|Tintes
itm_raw_dyes_pl|Tintes
itm_velvet|Terciopelo
itm_velvet_pl|Terciopelo
itm_iron|Hierro
itm_iron_pl|Hierro
itm_tools|Herramientas
itm_tools_pl|Herramientas
itm_raw_leather|Pieles
itm_raw_leather_pl|Pieles
itm_leatherwork|Cueros
itm_leatherwork_pl|Cueros
itm_raw_date_fruit|Dátiles
itm_raw_date_fruit_pl|Dátiles
itm_furs|Pieles
itm_furs_pl|Pieles
itm_wine|Vino
itm_wine_pl|Vino
itm_ale|Cerveza
itm_ale_pl|Cerveza
itm_smoked_fish|Pescado ahumado
itm_smoked_fish_pl|Pescado ahumado
itm_cheese|Queso
itm_cheese_pl|Queso
itm_honey|Miel
itm_honey_pl|Miel
itm_sausages|Salchichas
itm_sausages_pl|Salchichas
itm_cabbages|Coles
itm_cabbages_pl|Coles
itm_dried_meat|Carne seca
itm_dried_meat_pl|Carne seca
itm_apples|Fruta
itm_apples_pl|Fruta
itm_raw_grapes|Uvas
itm_raw_grapes_pl|Uvas
itm_raw_olives|Aceitunas
itm_raw_olives_pl|Aceitunas
itm_grain|Cereal
itm_grain_pl|Cereal
itm_cattle_meat|Carne de res
itm_cattle_meat_pl|Carne de res
itm_bread|Pan
itm_bread_pl|Pan
itm_chicken|Pollo
itm_chicken_pl|Pollo
itm_pork|Carne de cerdo
itm_pork_pl|Carne de cerdo
itm_butter|Manteca
itm_butter_pl|Manteca
itm_siege_supply|Suministros
itm_siege_supply_pl|Suministros
itm_quest_wine|el vino
itm_quest_wine_pl|el vino
itm_quest_ale|la cerveza
itm_quest_ale_pl|la cerveza
itm_sumpter_horse|Caballo albardón
itm_sumpter_horse_pl|Caballo albardón
itm_saddle_horse|Caballo de silla
itm_saddle_horse_pl|Caballo de silla
itm_steppe_horse|Caballo estepario
itm_steppe_horse_pl|Caballo estepario
itm_arabian_horse_a|Caballo del desierto
itm_arabian_horse_a_pl|Caballo del desierto
itm_courser|Corcel
itm_courser_pl|Corcel
itm_arabian_horse_b|Caballo sarraní
itm_arabian_horse_b_pl|Caballo sarraní
itm_hunter|Caballo de caza
itm_hunter_pl|Caballo de caza
itm_warhorse|Caballo de guerra
itm_warhorse_pl|Caballo de guerra
itm_charger|Caballo de batalla
itm_charger_pl|Caballo de batalla
itm_arrows|Flechas
itm_arrows_pl|Flechas
itm_khergit_arrows|Flechas Khergitas
itm_khergit_arrows_pl|Flechas Khergitas
itm_barbed_arrows|Flechas dentadas
itm_barbed_arrows_pl|Flechas dentadas
itm_bodkin_arrows|Flechas punzantes
itm_bodkin_arrows_pl|Flechas punzantes
itm_bolts|Virotes
itm_bolts_pl|Virotes
itm_steel_bolts|Virotes de acero
itm_steel_bolts_pl|Virotes de acero
itm_cartridges|Cartuchos
itm_cartridges_pl|Cartuchos
itm_pilgrim_disguise|Disfraz de peregrino
itm_pilgrim_disguise_pl|Disfraz de peregrino
itm_pilgrim_hood|Capucha de peregrino
itm_pilgrim_hood_pl|Capucha de peregrino
itm_leather_gloves|Guantes de cuero
itm_leather_gloves_pl|Guantes de cuero
itm_mail_mittens|Guantes de malla
itm_mail_mittens_pl|Guantes de malla
itm_scale_gauntlets|Guantes de escamas
itm_scale_gauntlets_pl|Guantes de escamas
itm_lamellar_gauntlets|Guantes laminados
itm_lamellar_gauntlets_pl|Guantes laminados
itm_gauntlets|Guanteletes
itm_gauntlets_pl|Guanteletes
itm_wrapping_boots|Polainas
itm_wrapping_boots_pl|Polainas
itm_woolen_hose|Calzas de lana
itm_woolen_hose_pl|Calzas de lana
itm_blue_hose|Calzas azules
itm_blue_hose_pl|Calzas azules
itm_hunter_boots|Botas de cazador
itm_hunter_boots_pl|Botas de cazador
itm_hide_boots|Botas de piel
itm_hide_boots_pl|Botas de piel
itm_ankle_boots|Botines
itm_ankle_boots_pl|Botines
itm_nomad_boots|Botas de nómada
itm_nomad_boots_pl|Botas de nómada
itm_leather_boots|Botas de cuero
itm_leather_boots_pl|Botas de cuero
itm_splinted_leather_greaves|Canilleras de cuero laminado
itm_splinted_leather_greaves_pl|Canilleras de cuero laminado
itm_mail_chausses|Medias de malla
itm_mail_chausses_pl|Medias de malla
itm_splinted_greaves|Canilleras laminadas
itm_splinted_greaves_pl|Canilleras laminadas
itm_mail_boots|Botas de malla
itm_mail_boots_pl|Botas de malla
itm_iron_greaves|Canilleras de hierro
itm_iron_greaves_pl|Canilleras de hierro
itm_black_greaves|Canilleras negras
itm_black_greaves_pl|Canilleras negras
itm_khergit_leather_boots|Botas khergitas de cuero
itm_khergit_leather_boots_pl|Botas khergitas de cuero
itm_sarranid_boots_a|Zapatos sarraníes
itm_sarranid_boots_a_pl|Zapatos sarraníes
itm_sarranid_boots_b|Botas de cuero sarraníes
itm_sarranid_boots_b_pl|Botas de cuero sarraníes
itm_sarranid_boots_c|Botas de placas sarraníes
itm_sarranid_boots_c_pl|Botas de placas sarraníes
itm_sarranid_boots_d|Botas de malla sarraníes
itm_sarranid_boots_d_pl|Botas de malla sarraníes
itm_sarranid_head_cloth|Bandana de dama
itm_sarranid_head_cloth_pl|Bandana de dama
itm_sarranid_head_cloth_b|Bandana de dama
itm_sarranid_head_cloth_b_pl|Bandana de dama
itm_sarranid_felt_head_cloth|Bandana
itm_sarranid_felt_head_cloth_pl|Bandana
itm_sarranid_felt_head_cloth_b|Bandana
itm_sarranid_felt_head_cloth_b_pl|Bandana
itm_lady_dress_ruby|Vestido de dama
itm_lady_dress_ruby_pl|Vestido de dama
itm_lady_dress_green|Vestido de dama
itm_lady_dress_green_pl|Vestido de dama
itm_lady_dress_blue|Vestido de dama
itm_lady_dress_blue_pl|Vestido de dama
itm_red_dress|Vestido rojo
itm_red_dress_pl|Vestido rojo
itm_brown_dress|Vestido marrón
itm_brown_dress_pl|Vestido marrón
itm_green_dress|Vestido verde
itm_green_dress_pl|Vestido verde
itm_khergit_lady_dress|Vestido de dama Khergita
itm_khergit_lady_dress_pl|Vestido de dama Khergita
itm_khergit_lady_dress_b|Vestido de dama Khergita
itm_khergit_lady_dress_b_pl|Vestido de dama Khergita
itm_sarranid_lady_dress|Vestido de dama Sarraní
itm_sarranid_lady_dress_pl|Vestido de dama Sarraní
itm_sarranid_lady_dress_b|Vestido de dama Sarraní
itm_sarranid_lady_dress_b_pl|Vestido de dama Sarraní
itm_sarranid_common_dress|Vestido Sarraní
itm_sarranid_common_dress_pl|Vestido Sarraní
itm_sarranid_common_dress_b|Vestido Sarraní
itm_sarranid_common_dress_b_pl|Vestido Sarraní
itm_courtly_outfit|Vestimentas de corte
itm_courtly_outfit_pl|Vestimentas de corte
itm_nobleman_outfit|Vestimentas de noble
itm_nobleman_outfit_pl|Vestimentas de noble
itm_nomad_armor|Armadura de nómada
itm_nomad_armor_pl|Armadura de nómada
itm_khergit_armor|Armadura Khergita
itm_khergit_armor_pl|Armadura Khergita
itm_leather_jacket|Chaqueta de cuero
itm_leather_jacket_pl|Chaqueta de cuero
itm_rawhide_coat|Gabán de cuero sin curtir
itm_rawhide_coat_pl|Gabán de cuero sin curtir
itm_leather_armor|Armadura de cuero
itm_leather_armor_pl|Armadura de cuero
itm_fur_coat|Gabán de piel
itm_fur_coat_pl|Gabán de piel
itm_coat|Gabán
itm_coat_pl|Gabán
itm_leather_coat|Gabán de cuero
itm_leather_coat_pl|Gabán de cuero
itm_mail_coat|Gabán de malla
itm_mail_coat_pl|Gabán de malla
itm_long_mail_coat|Gabán largo de malla
itm_long_mail_coat_pl|Gabán largo de malla
itm_mail_with_tunic_red|Mail with Tunic
itm_mail_with_tunic_red_pl|Mail with Tunic
itm_mail_with_tunic_green|Mail with Tunic
itm_mail_with_tunic_green_pl|Mail with Tunic
itm_hide_coat|Gabán de piel
itm_hide_coat_pl|Gabán de piel
itm_merchant_outfit|Vestimenta de mercader
itm_merchant_outfit_pl|Vestimenta de mercader
itm_homespun_dress|Vestido sencillo
itm_homespun_dress_pl|Vestido sencillo
itm_thick_coat|Gabán grueso
itm_thick_coat_pl|Gabán grueso
itm_coat_with_cape|Gabán con capa
itm_coat_with_cape_pl|Gabán con capa
itm_steppe_outfit|Vestimenta esteparia
itm_steppe_outfit_pl|Vestimenta esteparia
itm_nordic_outfit|Vestimenta nórdica
itm_nordic_outfit_pl|Vestimenta nórdica
itm_nordic_armor|Armadura nórdica
itm_nordic_armor_pl|Armadura nórdica
itm_hide_armor|Armadura de pieles
itm_hide_armor_pl|Armadura de pieles
itm_cloaked_tunic|Túnica con capucha
itm_cloaked_tunic_pl|Túnica con capucha
itm_sleeveless_tunic|Túnica sin mangas
itm_sleeveless_tunic_pl|Túnica sin mangas
itm_sleeveless_leather_tunic|Túnica de cuero sin mangas
itm_sleeveless_leather_tunic_pl|Túnica de cuero sin mangas
itm_linen_shirt|Camisa de hilo
itm_linen_shirt_pl|Camisa de hilo
itm_wool_coat|Gabán de lana
itm_wool_coat_pl|Gabán de lana
itm_dress|Vestido
itm_dress_pl|Vestido
itm_blue_dress|Vestido azul
itm_blue_dress_pl|Vestido azul
itm_peasant_dress|Vestido de campesino
itm_peasant_dress_pl|Vestido de campesino
itm_woolen_dress|Vestido de lana
itm_woolen_dress_pl|Vestido de lana
itm_shirt|Camisa
itm_shirt_pl|Camisa
itm_linen_tunic|Túnica de lino
itm_linen_tunic_pl|Túnica de lino
itm_short_tunic|Túnica elegante
itm_short_tunic_pl|Túnica elegante
itm_red_shirt|Camisa roja
itm_red_shirt_pl|Camisa roja
itm_red_tunic|Túnica roja
itm_red_tunic_pl|Túnica roja
itm_green_tunic|Túnica verde
itm_green_tunic_pl|Túnica verde
itm_blue_tunic|Túnica azul
itm_blue_tunic_pl|Túnica azul
itm_robe|Hábito
itm_robe_pl|Hábito
itm_coarse_tunic|Túnica burda
itm_coarse_tunic_pl|Túnica burda
itm_leather_apron|Delantal de cuero
itm_leather_apron_pl|Delantal de cuero
itm_tabard|Tabardo
itm_tabard_pl|Tabardo
itm_leather_vest|Chaleco de cuero
itm_leather_vest_pl|Chaleco de cuero
itm_steppe_armor|Armadura esteparia
itm_steppe_armor_pl|Armadura esteparia
itm_gambeson|Gambeson
itm_gambeson_pl|Gambeson
itm_blue_gambeson|Gambeson azul
itm_blue_gambeson_pl|Gambeson azul
itm_red_gambeson|Gambeson rojo
itm_red_gambeson_pl|Gambeson rojo
itm_padded_cloth|Aketon
itm_padded_cloth_pl|Aketon
itm_aketon_green|Tela acolchada
itm_aketon_green_pl|Tela acolchada
itm_leather_jerkin|Jubón de cuero
itm_leather_jerkin_pl|Jubón de cuero
itm_nomad_vest|Chaleco nómada
itm_nomad_vest_pl|Chaleco nómada
itm_ragged_outfit|Vestimenta raída
itm_ragged_outfit_pl|Vestimenta raída
itm_padded_leather|Cuero acolchado
itm_padded_leather_pl|Cuero acolchado
itm_tribal_warrior_outfit|Vestimenta de guerrero tribal
itm_tribal_warrior_outfit_pl|Vestimenta de guerrero tribal
itm_nomad_robe|Túnica nómada
itm_nomad_robe_pl|Túnica nómada
itm_studded_leather_coat|Gabán de cuero tachonado
itm_studded_leather_coat_pl|Gabán de cuero tachonado
itm_byrnie|Byrnie
itm_byrnie_pl|Byrnie
itm_haubergeon|Haubergeon
itm_haubergeon_pl|Haubergeon
itm_lamellar_vest|Chaleco de láminas
itm_lamellar_vest_pl|Chaleco de láminas
itm_lamellar_vest_khergit|Chaleco de láminas 
itm_lamellar_vest_khergit_pl|Chaleco de láminas 
itm_mail_shirt|Camisa de malla
itm_mail_shirt_pl|Camisa de malla
itm_mail_hauberk|Loriga de mallas
itm_mail_hauberk_pl|Loriga de mallas
itm_mail_with_surcoat|Mallas con sobretodo
itm_mail_with_surcoat_pl|Mallas con sobretodo
itm_surcoat_over_mail|Sobretodo sobre mallas
itm_surcoat_over_mail_pl|Sobretodo sobre mallas
itm_brigandine_red|Brigantina
itm_brigandine_red_pl|Brigantina
itm_lamellar_armor|Armadura de láminas
itm_lamellar_armor_pl|Armadura de láminas
itm_scale_armor|Armadura de escamas
itm_scale_armor_pl|Armadura de escamas
itm_banded_armor|Armadura de bandas
itm_banded_armor_pl|Armadura de bandas
itm_cuir_bouilli|Cuero hervido
itm_cuir_bouilli_pl|Cuero hervido
itm_coat_of_plates|Gabán de placas
itm_coat_of_plates_pl|Gabán de placas
itm_coat_of_plates_red|Gabán de placas
itm_coat_of_plates_red_pl|Gabán de placas
itm_plate_armor|Armadura de placas
itm_plate_armor_pl|Armadura de placas
itm_black_armor|Armadura negra
itm_black_armor_pl|Armadura negra
itm_pelt_coat|Gabán de pieles
itm_pelt_coat_pl|Gabán de pieles
itm_khergit_elite_armor|Armadura khergita de élite
itm_khergit_elite_armor_pl|Armadura khergita de élite
itm_vaegir_elite_armor|Armadura vaegir de élite Elite
itm_vaegir_elite_armor_pl|Armadura vaegir de élite
itm_sarranid_elite_armor|Armadura sarraní de élite
itm_sarranid_elite_armor_pl|Armadura sarraní de élite
itm_sarranid_dress_a|Vestido
itm_sarranid_dress_a_pl|Vestido
itm_sarranid_dress_b|Vestido
itm_sarranid_dress_b_pl|Vestido
itm_sarranid_cloth_robe|Vestido raído
itm_sarranid_cloth_robe_pl|Vestido raído
itm_sarranid_cloth_robe_b|Vestido raído
itm_sarranid_cloth_robe_b_pl|Vestido raído
itm_skirmisher_armor|Armadura de escaramuzador
itm_skirmisher_armor_pl|Armadura de escaramuzador
itm_archers_vest|Chaleco acolchado de arquero
itm_archers_vest_pl|Chaleco acolchado de arquero
itm_sarranid_leather_armor|Armadura de cuero sarraní
itm_sarranid_leather_armor_pl|Armadura de cuero sarraní
itm_sarranid_cavalry_robe|Túnica de caballería
itm_sarranid_cavalry_robe_pl|Túnica de caballería
itm_arabian_armor_b|Armadura de guardia sarraní
itm_arabian_armor_b_pl|Armadura de guardia sarraní
itm_sarranid_mail_shirt|Camisa de mallas sarraní
itm_sarranid_mail_shirt_pl|Camisa de mallas sarraní
itm_mamluke_mail|Malla mameluca
itm_mamluke_mail_pl|Malla mameluca
itm_burlap_tunic|Túnica de arpillera
itm_burlap_tunic_pl|Túnica de arpillera
itm_heraldic_mail_with_surcoat|Malla heráldica con sobretodo
itm_heraldic_mail_with_surcoat_pl|Malla heráldica con sobretodo
itm_heraldic_mail_with_tunic|Malla heráldica
itm_heraldic_mail_with_tunic_pl|Malla heráldica
itm_heraldic_mail_with_tunic_b|Malla heráldica
itm_heraldic_mail_with_tunic_b_pl|Malla heráldica
itm_heraldic_mail_with_tabard|Malla heráldica con tabardo
itm_heraldic_mail_with_tabard_pl|Malla heráldica con tabardo
itm_turret_hat_ruby|Toca cuadrada
itm_turret_hat_ruby_pl|Toca cuadrada
itm_turret_hat_blue|Toca cuadrada
itm_turret_hat_blue_pl|Toca cuadrada
itm_turret_hat_green|Barboquejo
itm_turret_hat_green_pl|Barboquejo
itm_head_wrappings|Vendajes
itm_head_wrappings_pl|Vendajes
itm_court_hat|Toca cuadrada
itm_court_hat_pl|Toca cuadrada
itm_wimple_a|Griñón
itm_wimple_a_pl|Griñón
itm_wimple_with_veil|Griñón con velo
itm_wimple_with_veil_pl|Griñón con velo
itm_straw_hat|Sombrero de paja
itm_straw_hat_pl|Sombrero de paja
itm_common_hood|Capucha
itm_common_hood_pl|Capucha
itm_hood_b|Capucha
itm_hood_b_pl|Capucha
itm_hood_c|Capucha
itm_hood_c_pl|Capucha
itm_hood_d|Capucha
itm_hood_d_pl|Capucha
itm_headcloth|Bandana
itm_headcloth_pl|Bandana
itm_woolen_hood|Capucha de lana
itm_woolen_hood_pl|Capucha de lana
itm_arming_cap|Crespina
itm_arming_cap_pl|Crespina
itm_fur_hat|Sombrero de piel
itm_fur_hat_pl|Sombrero de piel
itm_nomad_cap|Gorro nómada
itm_nomad_cap_pl|Gorro nómada
itm_nomad_cap_b|Gorro nómada
itm_nomad_cap_b_pl|Gorro nómada
itm_steppe_cap|Gorro de la estepa
itm_steppe_cap_pl|Gorro de la estepa
itm_padded_coif|Cofia acolchada
itm_padded_coif_pl|Cofia acolchada
itm_woolen_cap|Gorro de lana
itm_woolen_cap_pl|Gorro de lana
itm_felt_hat|Sombrero de fieltro
itm_felt_hat_pl|Sombrero de fieltro
itm_felt_hat_b|Sombrero de fieltro
itm_felt_hat_b_pl|Sombrero de fieltro
itm_leather_cap|Gorro de cuero
itm_leather_cap_pl|Gorro de cuero
itm_female_hood|Capucha de dama
itm_female_hood_pl|Capucha de dama
itm_leather_steppe_cap_a|Crespina de la estepa
itm_leather_steppe_cap_a_pl|Crespina de la estepa
itm_leather_steppe_cap_b|Crespina de la estepa 
itm_leather_steppe_cap_b_pl|Crespina de la estepa 
itm_leather_steppe_cap_c|Crespina de la estepa
itm_leather_steppe_cap_c_pl|Crespina de la estepa
itm_leather_warrior_cap|Gorro de cuero de guerrero
itm_leather_warrior_cap_pl|Gorro de cuero de guerrero
itm_skullcap|Gorro
itm_skullcap_pl|Gorro
itm_mail_coif|Cofia de malla
itm_mail_coif_pl|Cofia de malla
itm_footman_helmet|Yelmo militar
itm_footman_helmet_pl|Yelmo militar
itm_nasal_helmet|Yelmo nasal
itm_nasal_helmet_pl|Yelmo nasal
itm_norman_helmet|Casco acolchado
itm_norman_helmet_pl|Casco acolchado
itm_segmented_helmet|Yelmo segmentado
itm_segmented_helmet_pl|Yelmo segmentado
itm_helmet_with_neckguard|Yelmo con protección al cuello
itm_helmet_with_neckguard_pl|Yelmo con protección al cuello
itm_flat_topped_helmet|Yelmo chato
itm_flat_topped_helmet_pl|Yelmo chato
itm_kettle_hat|Capelina
itm_kettle_hat_pl|Capelina
itm_spiked_helmet|Yelmo de punta
itm_spiked_helmet_pl|Yelmo de punta
itm_nordic_helmet|Yelmo nórdico
itm_nordic_helmet_pl|Yelmo nórdico
itm_khergit_lady_hat|Sombrero de dama Khergita
itm_khergit_lady_hat_pl|Sombrero de dama Khergita
itm_khergit_lady_hat_b|Sombrero de cuero de dama Khergita
itm_khergit_lady_hat_b_pl|Sombrero de cuero de dama Khergita
itm_sarranid_felt_hat|Sombrero de fieltro sarraní
itm_sarranid_felt_hat_pl|Sombrero de fieltro sarraní
itm_turban|Turbante
itm_turban_pl|Turbante
itm_desert_turban|Turbante del desierto
itm_desert_turban_pl|Turbante del desierto
itm_sarranid_warrior_cap|Casco de guerrero sarraní
itm_sarranid_warrior_cap_pl|Casco de guerrero sarraní
itm_sarranid_horseman_helmet|Casco de jinete
itm_sarranid_horseman_helmet_pl|Casco de jinete
itm_sarranid_helmet1|Casco Keffiyeh sarraní
itm_sarranid_helmet1_pl|Casco Keffiyeh sarraní
itm_sarranid_mail_coif|Cofia de malla sarraní
itm_sarranid_mail_coif_pl|Cofia de malla sarraní
itm_sarranid_veiled_helmet|Casco con visera sarraní
