829
qstr_thawb1_belt1 thawb1_belt1
qstr_pbs_activeability_cover pbs_activeability_coveringfire_noselected
qstr_{s1}^^Turning_on_sup {s1}^^Turning_on_suppression_fire_will_increase_shooting_speed^and_decreasing_enemy_discipline_level_three_times_faster,^on_exchange_of_drastically_decreasing_your_own_accuracy.^Company_types:_any.
qstr_Gas_masks:_always_we Gas_masks:_always_wear
qstr_pbs_activeability_gas pbs_activeability_gasmasks_on
qstr_Gas_masks:_at_will Gas_masks:_at_will
qstr_pbs_activeability_gasm pbs_activeability_gasmasks_off
qstr_Gas_masks:_always_wea Gas_masks:_always_wear/at_will
qstr_pbs_activeability_gasma pbs_activeability_gasmasks_onoff
qstr_pbs_activeability_gasmas pbs_activeability_gasmasks_noselected
qstr_{s1}^^Gas_masks_make {s1}^^Gas_masks_make_troops_invulnerable_to_poison_gas,_but_decrease_shooting_accuracy_and_energy_level.^Company_types:_any.
qstr_{reg0} {reg0}
qstr_{reg0}% {reg0}%
qstr_{reg0}_c. {reg0}_c.
qstr_Cannot_dig_in:_wrong Cannot_dig_in:_wrong_company_types_(only_line_infantry_and_guard_infantry_can_dig_in).
qstr_Cannot_launch_gas_at Cannot_launch_gas_attack:_wrong_company_types_(only_artillery_can_use_gas_attack).
qstr_Cannot_launch_grenad Cannot_launch_grenade_attack:_wrong_company_types_(only_shock_troops_can_throw_grenades).
qstr_Select_2_or_more_com Select_2_or_more_companies_with_soldiers_to_merge.
qstr_Others Others
qstr_Outlaws Outlaws
qstr_Mercenary Mercenary
qstr_Close Close
qstr_Click_the_center_but Click_the_center_button_to_toggle_faction^Click_the_avatars_to_view_details_of_them
qstr_Level:_{reg3}^Health Level:_{reg3}^Health:_{reg4}
qstr_Attributes Attributes
qstr_STR^AGI^INT^CHA STR^AGI^INT^CHA
qstr_{reg2} {reg2}
qstr_{s1}^{reg2} {s1}^{reg2}
qstr_Skills Skills
qstr_Ironflesh^Power_Stri Ironflesh^Power_Strike^Power_Throw^Power_Draw^Shield^Athletics^Riding^Horse_Archery
qstr_Proficiencies Proficiencies
qstr_1H_Weapons^2H_Weapon 1H_Weapons^2H_Weapons^Polearms^Archery^Rifles^Throwing
qstr_Equipments Equipments
qstr_Factions Factions
qstr_Show_towns Show_towns
qstr_Show_castles Show_castles
qstr_Show_villages Show_villages
qstr_Tip:_move_the_mouse_ Tip:_move_the_mouse_onto_the_black_blocks_to_show_their_names.
qstr_The_World_Map The_World_Map
qstr_Done Done
qstr_Press_Escape_to_clos Press_Escape_to_close_menu...
qstr_{s7}__s_Army {s7}_'s_Army
qstr_Attribute_points_{re Attribute_points_{reg40}
qstr_Skill_points_{reg41} Skill_points_{reg41}
qstr_Weapon_points_{reg42 Weapon_points_{reg42}
qstr_Save Save
qstr_Reset Reset
qstr_Current:{s1} Current:{s1}
qstr_{s2}^Base_Attribute: {s2}^Base_Attribute:CHA
qstr_{s2}^Base_Attribute:I {s2}^Base_Attribute:INT
qstr_{s2}^Base_Attribute:A {s2}^Base_Attribute:AGI
qstr_{s2}^Base_Attribute:S {s2}^Base_Attribute:STR
qstr_Battle_role: Battle_role:
qstr_Line_Infantry Line_Infantry
qstr_Light_Infantry Light_Infantry
qstr_Guard_Infantry Guard_Infantry
qstr_Melee_Cavalry Melee_Cavalry
qstr_Ranged_Cavalry Ranged_Cavalry
qstr_Guard_Cavalry Guard_Cavalry
qstr_Next Next
qstr_Price_{reg42}^Weight Price_{reg42}^Weight_{reg43}
qstr_{reg5}_to_{reg6} {reg5}_to_{reg6}
qstr_You_can_t_equip_this You_can't_equip_this_item_-_wrong_slot.
qstr_Military_Technologie Military_Technologies_of_the_{s1}
qstr_Research Research
qstr_Select_technology Select_technology
qstr_Rifled_Caplock^^Musk Rifled_Caplock^^Muskets
qstr_Conversion_Breech_lo Conversion_Breech-loaded^^Rifles
qstr_Modern^^Breech_loade Modern^^Breech-loaded_Rifles
qstr_Breech_loaded^^Canno Breech-loaded^^Cannons
qstr_Improved_Percussion^ Improved_Percussion^^Mechanisms
qstr_Early_Magazine^^Rifl Early_Magazine^^Rifles
qstr_Machine_Guns Machine_Guns
qstr_Modern_Magazine_Rifl Modern_Magazine_Rifles
qstr_Light_Machine^^Guns Light_Machine^^Guns
qstr_Landships Landships
qstr_Crimean_War^^Experie Crimean_War^^Experience
qstr_Skirmish_Line^^Tacti Skirmish_Line^^Tactics
qstr_Modern_Defence^^Tact Modern_Defence^^Tactics
qstr_Modern_Attack_Tactic Modern_Attack_Tactics
qstr_Deep_Defence Deep_Defence
qstr_Infantry_Machine^^Gu Infantry_Machine^^Gun_Tactics
qstr_Covering_Fire Covering_Fire
qstr_Gas_Attacks Gas_Attacks
qstr_Shock_Troops Shock_Troops
qstr_You_do_not_have_enou You_do_not_have_enough_money.
qstr_faction_technologies faction_technologies_tech_available
qstr_faction_technologies_ faction_technologies_tech_inprogress
qstr_Rifled_Caplock^Muske Rifled_Caplock^Muskets
qstr_faction_technologies_p faction_technologies_photo_riflesrifled
qstr_faction_technologies_ph faction_technologies_photo_deepdefence
qstr_faction_technologies_pho faction_technologies_photo_modernattack
qstr_Crimean_War^Experien Crimean_War^Experience
qstr_faction_technologies_phot faction_technologies_photo_crimeanwar
qstr_Modern_Magazine^Rifl Modern_Magazine^Rifles
qstr_faction_technologies_photo faction_technologies_photo_riflesboltactionmodern
qstr_Conversion_Breech_loa Conversion_Breech-loaded^Rifles
qstr_faction_technologies_photo_ faction_technologies_photo_riflesconverted
qstr_Infantry_Machine^Gun Infantry_Machine^Gun_Tactics
qstr_faction_technologies_photo_i faction_technologies_photo_infantrymgtactics
qstr_faction_technologies_photo_c faction_technologies_photo_coveringfire
qstr_faction_technologies_photo_g faction_technologies_photo_gasattacks
qstr_Converted_breech_loa Converted_breech-loaded_rifles_have_several_issues._They_have_big_caliber,_because_of_which_during_fast_shooting_the_barrel_heats_up_so_much_that_it_becomes_hard_to_handle_rifle_during_reload_or_melee_fighting._Inserted_breech-loading_mechanisms_are_not_perfect_and_often_cause_cartridge_case_to_jam_inside_after_shot,_and_being_hard_to_get_out._Next_step_in_firearms_rearmament_should_be_adopting_new_breech-loaded_rifle:_it_will_have_much_smaller_caliber_than_before,_which_will_improve_bullet_ballistics,_and_will_have_improved_breech-loading_mechanism,_that_will_further_increase_rate_of_fire_by_making_reloading_process_easier.^^Effects:_army_changes_it's_firearms_to_small-caliber_breech-loading_rifles.
qstr_faction_technologies_photo_r faction_technologies_photo_riflessmallcaliber
qstr_faction_technologies_photo_t faction_technologies_photo_tanks
qstr_Skirmish_Line^Tactic Skirmish_Line^Tactics
qstr_faction_technologies_photo_s faction_technologies_photo_skirmishline
qstr_Light_Machine^Guns Light_Machine^Guns
qstr_faction_technologies_photo_l faction_technologies_photo_lmgs
qstr_Early_Magazine^Rifle Early_Magazine^Rifles
qstr_faction_technologies_photo_ri faction_technologies_photo_riflesboltaction
qstr_Breech_loaded^Cannon Breech-loaded^Cannons
qstr_faction_technologies_photo_ca faction_technologies_photo_cannonsbreechloading
qstr_faction_technologies_photo_m faction_technologies_photo_machineguns
qstr_Improved_Percussion^M Improved_Percussion^Mechanisms
qstr_faction_technologies_photo_la faction_technologies_photo_lateshells
qstr_faction_technologies_photo_sh faction_technologies_photo_shocktroops
qstr_Modern_Defence^Tacti Modern_Defence^Tactics
qstr_faction_technologies_photo_mo faction_technologies_photo_moderndefence
qstr___already_invested_ _(already_invested)
qstr___already_researched _(already_researched)
qstr__Current_progress___ _Current_progress_-_{reg2}%.
qstr_Cost___{reg0}_pounds Cost_-_{reg0}_pounds{s1}.^Available_after_{reg1}_year.{s2}
qstr_Select_Faction Select_Faction
qstr_Start_Game Start_Game
qstr_Chosen_Faction:^{s1} Chosen_Faction:^{s1}
qstr_Select_flag_for_your Select_flag_for_your_faction
qstr_Peace_negotiations_w Peace_negotiations_with_{s1}
qstr_Stop_Negotiations Stop_Negotiations
qstr_Make_Peace Make_Peace
qstr_Opposite_side_diplom Opposite_side_diplomats^cannot_agree_with_terms
qstr_Current_winner:_{s1} Current_winner:_{s1}
qstr_War_reparations_amou War_reparations_amount:_{reg11}_pounds
qstr_Infamy_penalty:_{reg Infamy_penalty:_{reg12}
qstr_Cannot_claim_{s31}__ Cannot_claim_{s31}_-_it_doesn't_have_supply_routes_to_your_faction.
qstr_Diplomats_from_{s32} Diplomats_from_{s32}_refuse_to_give_{s31}_to_the_{s33}.
qstr_{s1} {s1}
qstr_Executive_Branch_Com Executive_Branch_Composition_
qstr_Not_a_ruling_party.^ Not_a_ruling_party.^Click_to_make_this_party^_a_ruling_party.
qstr_Upper_Class___Aristo Upper_Class_-_Aristocracy
qstr_Upper_Class___Bourge Upper_Class_-_Bourgeoisie
qstr_Middle_Class Middle_Class
qstr_Lower_Class___Urban Lower_Class_-_Urban
qstr_Lower_Class___Rural Lower_Class_-_Rural
qstr_Loyalty_to_parties: Loyalty_to_parties:
qstr_Wealth:_{reg1}% Wealth:_{reg1}%
qstr_Satisfaction_with_ne Satisfaction_with_needs:_{reg2}%
qstr_Political_activity:_ Political_activity:_{reg3}%
qstr_State_Laws: State_Laws:
qstr_Nomination_Rules Nomination_Rules
qstr_Upper_Class_Only Upper_Class_Only
qstr_Universal Universal
qstr_Vote_Franchise Vote_Franchise
qstr_Aristocracy_Only Aristocracy_Only
qstr_Upper_and_Middle_Cla Upper_and_Middle_Class_Only
qstr_Universal_Weighted Universal_Weighted
qstr_Voting_System Voting_System
qstr_Ruling_Party_Influen Ruling_Party_Influence
qstr_Non_secret_Ballot Non-secret_Ballot
qstr_Secret_Ballot Secret_Ballot
qstr_Press_Censorship Press_Censorship
qstr_State_Press State_Press
qstr_Heavy_Censorship Heavy_Censorship
qstr_Light_Censorship Light_Censorship
qstr_Free_Press Free_Press
qstr_Executive_Branch_Ele Executive_Branch_Elective_Posts
qstr_Selected_by_State Selected_by_State
qstr_Partially_Elected Partially_Elected
qstr_Mostly_Elected Mostly_Elected
qstr_Military_Service_Ter Military_Service_Term
qstr_Short Short
qstr_Medium Medium
qstr_Long Long
qstr_Production_Safety_Re Production_Safety_Regulations
qstr_Minimum_Wage Minimum_Wage
qstr_Trade_Unions Trade_Unions
qstr_Public_Meetings Public_Meetings
qstr_Income_tax:_{reg10}% Income_tax:_{reg10}%
qstr_Goods_and_Services_t Goods_and_Services_tax:_{reg10}%
qstr_Import/Export_tax:_{ Import/Export_tax:_{reg11}%/{reg12}%
qstr_Military_Expenses:_{ Military_Expenses:_{reg10}%
qstr_Education_Expenses:_ Education_Expenses:_{reg10}%
qstr_Infrastructure_Expen Infrastructure_Expenses:_{reg10}%
qstr_Healthcare_Expenses: Healthcare_Expenses:_{reg10}%
qstr_Slot:_not_selected Slot:_not_selected
qstr_Party:_not_selected Party:_not_selected
qstr_Party:_{reg1}___{s1} Party:_{reg1}_-_{s1}
qstr_{reg1} {reg1}
qstr_N_A N_A
qstr_Slot:_{reg1} Slot:_{reg1}
qstr_JUST_MONIKA_JUST_MON JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^JUST_MONIKA_JUST_MONIKA_JUST_MONIKA^
qstr_monika1 monika1
qstr_{!} {!}
qstr_00 00
qstr_{reg1}.{s2}{reg2}_mi {reg1}.{s2}{reg2}_millions_of_population
qstr_Literacy_is_{reg1}.{ Literacy_is_{reg1}.{reg2}%
qstr_Urbanization_is_{reg Urbanization_is_{reg1}.{reg2}%
qstr_Daily_GDP_is_{reg1}_ Daily_GDP_is_{reg1}_pounds.
qstr_{reg1}_craftsmen_{re {reg1}_craftsmen,_{reg2}_of_which_are_employed^in_mass_production,_and_{reg3}_are^occupied_in_handicraft_production.
qstr_Region_of_{s1} Region_of_{s1}
qstr_Resource_Menu Resource_Menu
qstr_X_thousands_of_popul X_thousands_of_population
qstr_Literacy_is_X% Literacy_is_X%
qstr_Urbanization_is_X% Urbanization_is_X%
qstr__+ _+
qstr_Balance_change:{s1}{ Balance_change:{s1}{reg10}_pounds.
qstr_BUY BUY
qstr_SELL SELL
qstr_Balance_change:_+0_p Balance_change:_+0_pounds.
qstr_Manage_share__Now_is Manage_share_(Now_is_{reg10})%.
qstr_Not_enough_money. Not_enough_money.
qstr_Price_history_chart: Price_history_chart:
qstr_Country Country
qstr_Supply Supply
qstr_Demand Demand
qstr_Number_of^Factories Number_of^Factories
qstr_Quality Quality
qstr_GDP GDP
qstr_Population Population
qstr_Literacy Literacy
qstr_Urbanization Urbanization
qstr_Select_factory_to_bu Select_factory_to_build:
qstr_Your_current_balance Your_current_balance_is_{reg10}_pounds.
qstr_Initial_Capital:_500 Initial_Capital:_50000_pounds.
qstr_*Rest_of_initial_bud *Rest_of_initial_budget_will_be_found_via_investitions.^Speed_of_funding_depends_on_region_and_country.
qstr_Start_Enterprise Start_Enterprise
qstr_pes_region_factoryca pes_region_factorycard2
qstr_{s3} {s3}
qstr_{s2} {s2}
qstr_Same_type_of_factory Same_type_of_factory_does_already_exist_in_this_town.
qstr_Initial_Capital:_{re Initial_Capital:_{reg10}_pounds.
qstr_vSeason vSeason
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_nowhere nowhere
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{!}{s57}_{s58} {!}{s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s63}_is_connected_t {s63}_is_connected_to_the_cities_of_{s60},_{s61}_and_{s62}_by_the_local_road_network._Region_of_this_center_has_access_to_a_seaport.
qstr_{s63}_is_connected_to {s63}_is_connected_to_the_cities_of_{s60},_{s61}_and_{s62}_by_the_local_road_network.
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}.^{s20}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{!}{s9}_{s10} {!}{s9},_{s10}
qstr_{s21}^*_The_{s5}_is_ {s21}^*_The_{s5}_is_in_alliance_with_{s14}_({reg11}).
qstr_{s21}^*_The_{s5}_has {s21}^*_The_{s5}_has_friendly_diplomatic_relationship_with_{s14}_({reg11}).
qstr_{s21}^*_The_{s5}_has_ {s21}^*_The_{s5}_has_warm_diplomatic_relationship_with_{s14}_({reg11}).
qstr_{s21}^*_The_{s5}_has_i {s21}^*_The_{s5}_has_indifferent_diplomatic_relationship_with_{s14}_({reg11}).
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s5}_has_been_defeat {s5}_has_been_defeated.
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_Has_second_barrel__p Has_second_barrel_(press_action^key_while_aiming_to_fire_a_buckshot)
qstr_Uses_pistol_cartridg Uses_pistol_cartridges
qstr_Smoothbore_musket Smoothbore_musket
qstr_Rifled_musket Rifled_musket
qstr_Converted_breech_load Converted_breech_loaded_rifle
qstr_Modern_breech_loaded Modern_breech_loaded_rifle
qstr_Smoothbore_pistol Smoothbore_pistol
qstr_Revolver__6_rounds_ Revolver_(6_rounds)
qstr_Pocket_Revolver__6_r Pocket_Revolver_(6_rounds)
qstr_Self_Loading_Pistol_ Self-Loading_Pistol_(8_rounds)
qstr_Revolver__9_rounds_ Revolver_(9_rounds)
qstr_Pump_shotgun__6_roun Pump_shotgun_(6_rounds)
qstr_Shotgun__2_rounds_ Shotgun_(2_rounds)
qstr_Lever_action_shotgun Lever_action_shotgun_(6_rounds)
qstr_Lever_action_shotgun_ Lever_action_shotgun_(1_round)
qstr_Bolt_action_magazine Bolt-action_magazine_rifle_(5_rounds)
qstr_Straight_pull_bolt_a Straight-pull_bolt-action^magazine_rifle_(5_rounds)
qstr_Bolt_action_magazine_ Bolt-action_magazine_rifle_(4_rounds)
qstr_Bolt_action_magazine_r Bolt-action_magazine_rifle_(8_rounds)
qstr_Bolt_action_magazine_ri Bolt-action_magazine_rifle_(10_rounds)
qstr_Pocket_Pistol__6_rou Pocket_Pistol_(6_rounds)
qstr_Pocket_Pistol__4_rou Pocket_Pistol_(4_rounds)
qstr_Breech_loaded_rifle Breech_loaded_rifle
qstr_Lever_action_magazin Lever_action_magazine_rifle_(8_rounds)
qstr_Lever_action_magazine Lever_action_magazine_rifle_(5_rounds)
qstr_Lever_action_magazine_ Lever_action_magazine_rifle_(9_rounds)
qstr_Lever_action_magazine_r Lever_action_magazine_rifle_(16_rounds)
qstr_Lever_action_magazine_ri Lever_action_magazine_rifle_(7_rounds)
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_wound_treament wound_treament
qstr_trainer trainer
qstr_surgery surgery
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Accompany Accompany
qstr_{!}_{s61} {!}_{s61}
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
