p_zendar|Zendar Şehri
p_castle_223|Sevastopol
p_castle_224|Kherson
p_castle_225|Odessa
p_castle_226|Donetsk
p_castle_227|Kharkov
p_castle_228|Yerevan
p_castle_229|Uman
p_castle_230|Lublin
p_castle_231|Lodz
p_castle_232|Vilnius
p_castle_233|Bydgoszcz
p_castle_234|Poznan
p_castle_235|Bialystok
p_castle_236|Rivne
p_castle_237|Klaipeda
p_castle_238|Tallinn
p_castle_239|Omsk
p_castle_240|Saratov
p_castle_241|Bologoye
p_castle_242|Gomel
p_castle_243|Pskov
p_castle_244|Davgaupils
p_castle_245|Kazan
p_castle_246|Samara
p_castle_247|Aktobe
p_castle_248|Chelyabinsk
p_castle_249|Krasnoyarsk
p_castle_250|Voronezh
p_castle_251|Smolensk
p_castle_252|Akmolinsk
p_castle_253|Wroclaw
p_castle_254|Chisinau
p_castle_255|Dybbol
p_castle_256|Kiel
p_castle_257|Lubeck
p_castle_258|Grindelwald
p_castle_259|Zurich
p_castle_260|Saarbrucken
p_castle_261|Wurtzburg
p_castle_262|Trieste
p_village_1|Yaragar Köyü
p_village_2|Burglen Köyü
p_village_3|Azgad Köyü
p_village_4|Nomar Köyü
p_village_5|Kulum Köyü
p_village_6|Emirin Köyü
p_village_7|Amere Köyü
p_village_8|Haen Köyü
p_village_9|Buvran Köyü
p_village_10|Mechin Köyü
p_village_11|Dusturil Köyü
p_village_12|Emer Köyü
p_village_13|Nemeja Köyü
p_village_14|Sumbuja Köyü
p_village_15|Ryibelet Köyü
p_village_16|Shapeshte Köyü
p_village_17|Mazen Köyü
p_village_18|Ulburban Köyü
p_village_19|Hanun Köyü
p_village_20|Uslum Köyü
p_village_21|Bazeck Köyü
p_village_22|Shulus Köyü
p_village_23|Ilvia Köyü
p_village_24|Ruldi Köyü
p_village_25|Dashbigha Köyü
p_village_26|Pagundur Köyü
p_village_27|Glunmar Köyü
p_village_28|Tash Kulun Köyü
p_village_29|Buillin Köyü
p_village_30|Ruvar Köyü
p_village_31|Ambean Köyü
p_village_32|Tosdhar Köyü
p_village_33|Ruluns Köyü
p_village_34|Ehlerdah Köyü
p_village_35|Fearichen Köyü
p_village_36|Jayek Köyü
p_village_37|Ada Kulun Köyü
p_village_38|Ibiran Köyü
p_village_39|Reveran Köyü
p_village_40|Saren Köyü
p_village_41|Dugan Köyü
p_village_42|Dirigh Aban Köyü
p_village_43|Zagush Köyü
p_village_44|Peshmi Köyü
p_village_45|Bulugur Köyü
p_village_46|Fedner Köyü
p_village_47|Epeshe Köyü
p_village_48|Veidar Köyü
p_village_49|Tismirr Köyü
p_village_50|Karindi Köyü
p_village_51|Jelbegi Köyü
p_village_52|Amashke Köyü
p_village_53|Balanli Köyü
p_village_54|Chide Köyü
p_village_55|Tadsamesh Köyü
p_village_56|Fenada Köyü
p_village_57|Ushkuru Köyü
p_village_58|Vezin Köyü
p_village_59|Dumar Köyü
p_village_60|Tahlberl Köyü
p_village_61|Aldelen Köyü
p_village_62|Rebache Köyü
p_village_63|Rduna Köyü
p_village_64|Serindiar Köyü
p_village_65|Iyindah Köyü
p_village_66|Fisdnar Köyü
p_village_67|Tebandra Köyü
p_village_68|Ibdeles Köyü
p_village_69|Kwynn Köyü
p_village_70|Dirigsene Köyü
p_village_71|Tshibtin Köyü
p_village_72|Elberl Köyü
p_village_73|Chaeza Köyü
p_village_74|Ayyike Köyü
p_village_75|Bhulaban Köyü
p_village_76|Kedelke Köyü
p_village_77|Rizi Köyü
p_village_78|Sarimish Köyü
p_village_79|Istiniar Köyü
p_village_80|Vayejeg Köyü
p_village_81|Odasan Köyü
p_village_82|Yalibe Köyü
p_village_83|Gisim Köyü
p_village_84|Chelez Köyü
p_village_85|Ismirala Köyü
p_village_86|Slezkh Köyü
p_village_87|Udiniad Köyü
p_village_88|Tulbuk Köyü
p_village_89|Uhhun Köyü
p_village_90|Jamiche Köyü
p_village_91|Ayn Assuadi Köyü
p_village_92|Dhibbain Köyü
p_village_93|Qalyut Köyü
p_village_94|Mazigh Köyü
p_village_95|Tamnuh Köyü
p_village_96|Habba Köyü
p_village_97|Sekhtem Köyü
p_village_98|Mawiti Köyü
p_village_99|Fisara Köyü
p_village_100|Ikbayl Köyü
p_village_101|Uzga Köyü
p_village_102|Şibal Zumr Köyü
p_village_103|Micayet Köyü
p_village_104|Tazcunat Köyü
p_village_105|Aab Köyü
p_village_106|Hawaha Köyü
p_village_107|Unriya Köyü
p_village_108|Mit Nun Köyü
p_village_109|Tilimsal Köyü
p_village_110|Rusdih Köyü
p_village_111|Alwajh
p_village_112|Umm Lajj
p_village_113|Abha
p_village_114|Bandar Anzali
p_village_115|Ardabil
p_village_116|Orumiyeh
p_village_117|Baneh
p_village_118|Alamut
p_village_119|Kuhdasht
p_village_120|Dezful
p_village_121|Behbahan
p_village_122|Bandar Bushehr
p_village_123|Darab
p_village_124|Firuz Abad
p_village_125|Negour
p_village_126|Zahedan
p_village_127|Qa'en
p_village_128|Neyshapur
p_village_129|Beteta
p_village_130|Damghan
p_village_131|Hamadan
p_village_132|Zanjan
p_village_133|Babol
p_village_134|Sari
p_village_135|Bojnurd
p_village_136|Yazd
p_village_137|Sarakhs
p_village_138|Lashkargah
p_village_139|Qades
p_village_140|Mazar Sharif
p_village_141|Pasaband
p_village_142|Shindand
p_village_143|Ghazni
p_village_144|Bamian
p_village_145|Feyzabad
p_village_146|Brest
p_village_147|Saint Brieuc
p_village_148|Nice
p_village_149|Casteres
p_village_150|Marsan
p_village_151|Auch
p_village_152|Valences
p_village_153|Bressa
p_village_154|Bourges
p_village_155|Angers
p_village_156|Periguex
p_village_157|Saint Lo
p_village_158|Amiens
p_village_159|Evreux
p_village_160|Chaumont
p_village_161|Figari
p_village_162|Targoviste
p_village_163|Severin
p_village_164|Barland
p_village_165|Dobruca
p_village_166|Buzau
p_village_167|Novi Pazar
p_village_168|Branisevo
p_village_169|Syrmien
p_village_170|San Rogue
p_village_171|Alcazarre
p_village_172|Caseres
p_village_173|Trient
p_village_174|Welsch Bern
p_village_175|Friaul
p_village_176|Lienz
p_village_177|Gorz
p_village_178|Pelaum
p_village_179|Warasdin
p_village_180|Brastislava
p_village_181|Linz
p_village_182|Brunn
p_village_183|Zips
p_village_184|Neu Sandez
p_village_185|Malliera
p_village_186|Bekesch
p_village_187|Marmarosch
p_village_188|Thorenberg
p_village_189|Halytsch
p_village_190|Terebovlia
p_village_191|Premissel
p_village_192|Temesch
p_village_193|Osijek
p_village_194|Ghuriyan
p_village_195|Albacete
p_village_196|Gyor
p_village_197|Gyzylarbat
p_village_198|Tejen
p_village_199|Gumdag
p_village_200|Ashgabat
p_village_201|Turkmenbashi
p_village_202|Khodzhakala
p_village_203|Darzava
p_village_204|Bakharden
p_village_205|Okarem
p_village_206|Oglanly
p_village_207|Nukus
p_village_208|Beruni
p_village_209|Chimbay
p_village_210|Nawoiy
p_village_211|Kasan
p_village_212|Mubarek
p_village_213|Guzar
p_village_214|Nomad Camp
p_village_215|Nurata
p_village_216|Zarafshon
p_village_217|Tagtabazar
p_village_218|Goliston
p_village_219|Yasuj
p_village_220|Kazerun
p_village_221|Maragheh
p_village_222|Bam
p_village_223|Minab
p_village_224|Sirjan
p_village_225|Ardakan
p_village_226|Abadeh
p_village_227|Kajaki
p_village_228|Kitab
p_village_229|Angren
p_village_230|Farish
p_village_231|Termaz
p_village_232|Shuroabad
p_village_233|Gaba
p_village_234|Panj
p_village_235|Omani Village
p_village_236|Omani Village
p_village_237|Omani Village
p_village_238|Nomad Village
p_village_239|Omani Village
p_village_240|Karlovy Vary
p_village_241|Ostrava
p_village_242|Shaykh
p_village_243|Nomad Village
p_village_244|Nomad Village
p_village_245|Pasargad
p_village_246|Grosseto
p_village_247|Matera
p_village_248|Auxerre
p_village_249|Nevers
p_village_250|Moulins
p_village_251|Digne
p_village_252|Nimes
p_village_253|Arcachon
p_village_254|Cognac
p_village_255|Saint Nazaire
p_village_256|Laval
p_village_257|Versailles
p_village_258|Vesoul
p_village_259|Belfort
p_village_260|Nancy
p_village_261|Metz
p_village_262|Soissors
p_village_263|Edirne
p_village_264|Burgas
p_village_265|Komotini
p_village_266|Kozani
p_village_267|Vlore
p_village_268|Lezhe
p_village_269|Pecs
p_village_270|Haskovo
p_village_271|Slivern
p_village_272|Veliko Ternovo
p_village_273|Rodopi
p_village_274|Vratsa
p_village_275|Nesebar
p_village_276|Tulcea
p_village_277|Pernik
p_village_278|Reka
p_village_279|Veria
p_village_280|Tetovo
p_village_281|Gostivar
p_village_282|Istok
p_village_283|Prizren
p_village_284|Jablancia
p_village_285|Pazardzhik
p_village_286|Slagelse
p_village_287|Naestved
p_village_288|Odense
p_village_289|Randers
p_village_290|Silkeborg
p_village_291|Holestebro
p_village_292|Bronderslev
p_village_293|Vejen
p_village_294|Thus
p_village_295|Moni Skiadi
p_village_296|Dali
p_village_297|Verises
p_village_298|Dachau
p_village_299|Ettal
p_village_300|Donauworth
p_village_301|Nordlingen
p_village_302|Passau
p_village_303|Dinkelsbuhl
p_village_304|Schonburg
p_village_305|Konstanz
p_village_306|Braila
p_village_307|Freiburg
p_village_308|Freudenstadt
p_village_309|Bilberach
p_village_310|Ludwigsburg
p_village_311|Pforzhelm
p_village_312|Celle
p_village_313|Diepholz
p_village_314|Uelzen
p_village_315|Varel
p_village_316|Bielefeld
p_village_317|Hildesheim
p_village_318|Itzehoe
p_village_319|Kempten
p_village_320|Ghent
p_village_321|Zeebrugge
p_village_322|Veurne
p_village_323|Nivelles
p_village_324|Namur
p_village_325|Ardennes
p_village_326|Utretch
p_village_327|Leiden
p_village_328|Haarlem
p_village_329|Tillburg
p_village_330|Arnhem
p_village_331|Apeldoorn
p_village_332|Hasselt
p_village_333|Chimay
p_village_334|Tournai
p_village_335|Wittenberge
p_village_336|Gorzow
p_village_337|Juterbog
p_village_338|Branschweig
p_village_339|Bautzen
p_village_340|Leipzig
p_village_341|Bautzen
p_village_342|Stendal
p_village_343|Hettstedt
p_village_344|Gottingen
p_village_345|Fulda
p_village_346|Homberg
p_village_347|Armsberg
p_village_348|Munster
p_village_349|Darmstadt
p_village_350|Montabaur
p_village_351|Torgau
p_village_352|Schwerin
p_village_353|Wismar
p_village_354|Rostock
p_village_355|Pyrzyce
p_village_356|Gryfice
p_village_357|Lesezno
p_village_358|Malbork
p_village_359|Elblag
p_village_360|Bartoszyce
p_village_361|Goldap
p_village_362|Mragowo
p_village_363|GieBen
p_village_364|Chemnitz
p_village_365|Malmo
p_village_366|Karlskrona
p_village_367|Vaxjo
p_village_368|Linkoping
p_village_369|Uppsala
p_village_370|Hudiksvall
p_village_371|Falun
p_village_372|Falun
p_village_373|Karlstad
p_village_374|Goteborg
p_village_375|Lillehammer
p_village_376|Risor
p_village_377|Stavanger
p_village_378|Kirikkale
p_village_379|Karaman
p_village_380|Gazipasa
p_village_381|Isekenderun
p_village_382|Mersin
p_village_383|Antalya
p_village_384|Fethiye
p_village_385|Mugla
p_village_386|Aydin
p_village_387|Manisa
p_village_388|Balikesir
p_village_389|Bandirma
p_village_390|Usak
p_village_391|Eskisehir
p_village_392|Yozgat
p_village_393|Karabuk
p_village_394|Cankiri
p_village_395|Samsun
p_village_396|Ordu
p_village_397|Qom
p_village_398|Isparta
p_village_399|Kirsehir
p_village_400|Corum
p_village_401|Inebolu
p_village_402|Tokat
p_village_403|Elazig
p_village_404|Adiyaman
p_village_405|Gaziantep
p_village_406|Mardin
p_village_407|Urfa
p_village_408|Batman
p_village_409|Erzincen
p_village_410|Rize
p_village_411|Kozan
p_village_412|Nigde
p_village_413|Polatli
p_village_414|Gumusane
p_village_415|Ardahan
p_village_416|Agri
p_village_417|Patnos
p_village_418|Pervari
p_village_419|Hinis
p_village_420|Sirnak
p_village_421|Bayburt
p_village_422|Shobak
p_village_423|Acre
p_village_424|Arad
p_village_425|Tyre
p_village_426|Tartus
p_village_427|Latakia
p_village_428|Karak Nouh
p_village_429|Nablus
p_village_430|Reyhanli
p_village_431|Homs
p_village_432|Daraa
p_village_434|Idlib
p_village_435|Al Tabagh
p_village_436|Tal Afar
p_village_437|Kalak
p_village_438|Altun Kupri
p_village_439|Amerli
p_village_440|Tikrit
p_village_441|Hatra
p_village_442|Gurpinar
p_village_443|Ain Fathi
p_village_444|Wardiya
p_village_445|Al Hasakah
p_village_446|Deir Al Zur
p_village_447|Karbala
p_village_448|Hillah
p_village_449|Samawah
p_village_450|Amarah
p_village_451|Al Fao
p_village_452|Al Zubayr
p_village_453|Turkmenabat
p_village_454|Ain Issa
p_village_455|Arak
p_village_456|Namjo
p_village_457|Razan
p_village_458|Pasni
p_village_459|Sirkan
p_village_460|Dur Mohammad
p_village_461|Uthal
p_village_462|Makli
p_village_463|Surab
p_village_464|Mastung
p_village_465|Kharan
p_village_466|Multan
p_village_467|Bahawlpur
p_village_468|Ahmedabad
p_village_469|Bhuj
p_village_470|Bela
p_village_471|Sahiwal
p_village_472|Moga
p_village_473|Szombasely
p_village_474|Keszthely
p_village_475|Gloggnitz
p_village_476|Liezen
p_village_477|Galway
p_village_478|Sligo
p_village_479|Belfast
p_village_480|Dundalk
p_village_481|Waterford
p_village_482|Tralee
p_village_483|Limerick
p_village_484|Livingston
p_village_485|Kilmarnock
p_village_486|Aberdeen
p_village_487|Fort William
p_village_488|Oban
p_village_489|Dumfries
p_village_490|Leeds
p_village_491|Szolnok
p_village_492|Otterburn
p_village_493|Oradea
p_village_494|Bampton
p_village_495|Douglas
p_village_496|Kendal
p_village_497|Athlone
p_village_498|Hull
p_village_499|Boston
p_village_500|Ingoldmells
p_village_501|Chester
p_village_502|Bangor
p_village_503|Birmingham
p_village_504|Warrington
p_village_505|Cambridge
p_village_506|Bedford
p_village_507|Cardigan
p_village_508|Swansea
p_village_509|Bristol
p_village_510|Brighton
p_village_511|Dundee
p_village_512|Nottingham
p_village_513|Leicester
p_village_514|Swindon
p_village_515|Luton
p_village_516|Ipswich
p_village_517|Felixtowe
p_village_518|Portsmouth
p_village_519|Salisbury
p_village_520|Ullapool
p_village_521|Winchester
p_village_522|Seaton
p_village_523|Plymouth
p_village_524|Gengenbach
p_village_525|Haguenau
p_village_526|Radom
p_village_527|Pulawy
p_village_528|Czestochowa
p_village_529|Sieradz
p_village_530|Gniezno
p_village_531|Pila
p_village_532|Stargard
p_village_533|Choinice
p_village_534|Siedlce
p_village_535|Zamosc
p_village_536|Kielc
p_village_537|Konin
p_village_538|Legnica
p_village_539|Gorlitz
p_village_540|Olsztyn
p_village_541|Lomza
p_village_542|Suwalki
p_village_543|Chelm
p_village_544|Plock
p_village_545|Simferopol
p_village_546|Kerch
p_village_547|Armiansk
p_village_548|Ochakiv
p_village_549|Mykolaiv
p_village_550|Mariupol
p_village_551|Denipro
p_village_552|Nikopol
p_village_553|Tiraspol
p_village_554|Pervomaisk
p_village_555|Kryzhopil
p_village_556|Vinnytsia
p_village_557|Shepetivka
p_village_558|Novohrad Volynskyi
p_village_559|Cherkasy
p_village_560|Kropyvnytskyi
p_village_561|Lutsk
p_village_562|Pochaiv
p_village_563|Brest
p_village_564|Pinsk
p_village_565|Mazyr
p_village_566|Chernihiv
p_village_567|Zlobin
p_village_568|Babruysk
p_village_569|Maladzyechna
p_village_570|Shostka
p_village_571|Kaunas
p_village_572|Liepaja
p_village_573|Oyonnax
p_village_574|Pontarlier
p_village_575|Lemgow
p_village_576|Grudziads
p_village_577|Kolo
p_village_578|Poltava
p_village_579|Pryluky
p_village_580|Izyum
p_village_581|Volnovakha
p_village_582|Orsha
p_village_583|Polatsk
p_village_584|Radviliskis
p_village_585|Saldus
p_village_586|Jekabpils
p_village_587|Talsi
p_village_588|Parnu
p_village_589|Tartu
p_village_590|Narva
p_village_591|Madona
p_village_592|Luga
p_village_593|Veliky Novgorod
p_village_594|Tikhvin
p_village_595|Yaroslav
p_village_596|Vladimir
p_village_597|Tver
p_village_598|Safonovo
p_village_599|Mozhaysk
p_village_600|Zubstov
p_village_601|Bryansk
p_village_602|Kaluga
p_village_603|Kamyshin
p_village_604|Armavir
p_village_605|Rostov
p_village_606|Elista
p_village_607|Kizlyar
p_village_608|Derbent
p_village_609|Vladikavkaz
p_village_610|Kaluga
p_village_611|Bakuriani
p_village_612|Gurjaani
p_village_613|Vicenza
p_village_614|Pau
p_village_615|Bergerac
p_village_616|Lisieux
p_village_617|Lille
p_village_618|Maubegu
p_village_619|Sigen
p_village_620|Fieldburg
p_village_621|Offenburg
p_village_622|Ettlingen
p_village_623|Kerkau
p_village_624|Brunswick
p_village_625|Swaszow
p_village_626|Pleven
p_village_627|Hacioglu Pazarcik
p_village_628|Montana
p_village_629|Galat
p_village_630|Novi Sad
p_village_631|Oujda
p_village_632|Murcia
p_village_633|Lorca
p_village_634|Sevan
p_village_635|Gyumri
p_village_636|Vedi
p_village_637|Vardenis
p_village_638|Ocalik
p_village_639|Igdir
p_village_640|Khulo
p_village_641|Alaverdi
p_village_642|Quba
p_village_643|Shirvan
p_village_644|Ganja
p_village_645|Ninotsminda
p_village_646|Kut
p_village_647|Abadan
p_village_648|Faisal Abad
p_village_649|Loralai
p_village_650|Straubing
p_village_651|Manych
p_village_652|Aralsk
p_village_653|Ngyshlak
p_village_654|Kalmykov
p_village_655|Kazalynsk
p_village_656|Turgay
p_village_657|Nadym
p_village_658|Bingol
p_village_659|Iglino
p_village_660|Pokrovsk
p_village_661|Tsaritsyn
p_village_662|Izhevesk
p_village_663|Tyumsk
p_village_664|Serov
p_village_665|Atbasarsk
p_village_666|Dzheskazkan
p_village_667|Muhosransk
p_village_668|Kurgan
p_village_669|Pavlodar
p_village_670|Tomsk
p_village_671|Thuringen
p_village_672|Zwickau
p_village_673|Gjakova
p_village_674|Sisak
p_village_675|Mostar
p_village_676|Bihac
p_village_677|Sonderborg
p_village_678|Schleswig
p_village_679|Diwaniyyeh
p_village_680|Ramhormoz
p_village_681|Lar
p_village_682|Jiroft
p_village_683|Neustadt
p_village_684|Trier
p_village_685|Wertheim
p_village_686|Gorizia
p_salt_mine|Tuz Madeni
p_four_ways_inn|Dört Yol Hanı
p_test_scene|test scene
p_battlefields|savaş alanları
p_dhorak_keep|Dhorak Kalesi
p_training_ground|Talim Alanı
p_training_ground_1|Talim Alanı
p_training_ground_2|Talim Alanı
p_training_ground_3|Talim Alanı
p_training_ground_4|Talim Alanı
p_training_ground_5|Talim Alanı
p_steppe_bandit_spawn_point|the steppes
p_taiga_bandit_spawn_point|the tundra
p_forest_bandit_spawn_point|the forests
p_mountain_bandit_spawn_point|the highlands
p_sea_raider_spawn_point_1|the coast
p_sea_raider_spawn_point_2|the coast
p_desert_bandit_spawn_point|the deserts
